customer_id,first_name,last_name,email,city,state,registration_date,is_active
1,FirstName_1,LastName_1,customer1@example.com,Houston,TX,2025-10-30 18:16:05.052113,False
2,FirstName_2,LastName_2,customer2@example.com,Phoenix,NY,2025-07-22 18:16:05.052123,True
3,FirstName_3,LastName_3,customer3@example.com,Chicago,TX,2025-06-10 18:16:05.052126,True
4,FirstName_4,LastName_4,customer4@example.com,Phoenix,CA,2025-09-14 18:16:05.052127,False
5,FirstName_5,LastName_5,customer5@example.com,Phoenix,NY,2025-10-31 18:16:05.052129,True
6,FirstName_6,LastName_6,customer6@example.com,Los Angeles,AZ,2025-07-19 18:16:05.052130,False
7,FirstName_7,LastName_7,customer7@example.com,Chicago,IL,2025-10-04 18:16:05.052132,True
8,FirstName_8,LastName_8,customer8@example.com,Chicago,TX,2025-08-02 18:16:05.052133,True
9,FirstName_9,LastName_9,customer9@example.com,Chicago,IL,2025-03-16 18:16:05.052134,True
10,FirstName_10,LastName_10,customer10@example.com,Phoenix,IL,2025-02-21 18:16:05.052136,False
11,FirstName_11,LastName_11,customer11@example.com,Houston,NY,2025-05-22 18:16:05.052138,True
12,FirstName_12,LastName_12,customer12@example.com,Chicago,IL,2025-09-10 18:16:05.052139,True
13,FirstName_13,LastName_13,customer13@example.com,Phoenix,AZ,2025-05-29 18:16:05.052141,True
14,FirstName_14,LastName_14,customer14@example.com,Los Angeles,IL,2025-02-24 18:16:05.052142,True
15,FirstName_15,LastName_15,customer15@example.com,Houston,NY,2025-09-11 18:16:05.052144,True
16,FirstName_16,LastName_16,customer16@example.com,Los Angeles,AZ,2025-09-10 18:16:05.052145,True
17,FirstName_17,LastName_17,customer17@example.com,Houston,CA,2025-02-18 18:16:05.052146,True
18,FirstName_18,LastName_18,customer18@example.com,Phoenix,IL,2025-07-21 18:16:05.052148,False
19,FirstName_19,LastName_19,customer19@example.com,New York,NY,2025-04-03 18:16:05.052149,False
20,FirstName_20,LastName_20,customer20@example.com,Houston,CA,2025-09-30 18:16:05.052151,True
21,FirstName_21,LastName_21,customer21@example.com,Los Angeles,CA,2025-12-28 18:16:05.052152,True
22,FirstName_22,LastName_22,customer22@example.com,Phoenix,TX,2025-03-04 18:16:05.052154,True
23,FirstName_23,LastName_23,customer23@example.com,Houston,AZ,2025-02-10 18:16:05.052155,True
24,FirstName_24,LastName_24,customer24@example.com,New York,IL,2025-09-29 18:16:05.052156,True
25,FirstName_25,LastName_25,customer25@example.com,New York,NY,2025-05-14 18:16:05.052158,True
26,FirstName_26,LastName_26,customer26@example.com,Chicago,TX,2025-09-07 18:16:05.052159,True
27,FirstName_27,LastName_27,customer27@example.com,Chicago,AZ,2025-04-13 18:16:05.052161,False
28,FirstName_28,LastName_28,customer28@example.com,Los Angeles,TX,2025-10-29 18:16:05.052162,True
29,FirstName_29,LastName_29,customer29@example.com,Houston,AZ,2025-05-18 18:16:05.052164,True
30,FirstName_30,LastName_30,customer30@example.com,Houston,AZ,2025-05-29 18:16:05.052165,True
31,FirstName_31,LastName_31,customer31@example.com,Chicago,IL,2025-09-14 18:16:05.052167,True
