employee_id,name,department,position,salary,hire_date,email
1,Employee_1,Finance,Junior,52146.27,2022-06-30 18:16:05.056990,employee1@company.com
2,Employee_2,Finance,Intern,72902.59,2022-04-03 18:16:05.056995,employee2@company.com
3,Employee_3,Sales,Senior,65492.88,2022-12-02 18:16:05.056998,employee3@company.com
4,Employee_4,Engineering,Senior,79447.28,2021-08-11 18:16:05.056999,employee4@company.com
5,Employee_5,HR,Junior,97218.81,2023-02-09 18:16:05.057001,employee5@company.com
6,Employee_6,Marketing,Junior,94394.18,2023-07-13 18:16:05.057002,employee6@company.com
7,Employee_7,Finance,Intern,76911.07,2025-08-01 18:16:05.057004,employee7@company.com
8,Employee_8,HR,Senior,104015.41,2021-08-14 18:16:05.057006,employee8@company.com
9,Employee_9,Engineering,Senior,68777.59,2023-05-24 18:16:05.057007,employee9@company.com
10,Employee_10,Marketing,Senior,110704.29,2025-03-01 18:16:05.057008,employee10@company.com
11,Employee_11,Marketing,Senior,36415.22,2022-07-22 18:16:05.057010,employee11@company.com
12,Employee_12,Finance,Senior,115919.4,2024-10-19 18:16:05.057011,employee12@company.com
13,Employee_13,Sales,Manager,88922.38,2025-03-15 18:16:05.057013,employee13@company.com
14,Employee_14,Engineering,Junior,64206.71,2023-05-31 18:16:05.057014,employee14@company.com
15,Employee_15,Finance,Manager,47743.87,2025-12-02 18:16:05.057015,employee15@company.com
16,Employee_16,Engineering,Senior,73126.49,2022-12-26 18:16:05.057017,employee16@company.com
17,Employee_17,Sales,Intern,47510.25,2021-12-23 18:16:05.057018,employee17@company.com
18,Employee_18,Sales,Intern,44969.84,2022-02-28 18:16:05.057019,employee18@company.com
19,Employee_19,Finance,Senior,85561.66,2022-09-29 18:16:05.057021,employee19@company.com
20,Employee_20,Sales,Senior,77077.63,2022-03-09 18:16:05.057022,employee20@company.com
21,Employee_21,HR,Intern,90308.64,2021-05-04 18:16:05.057023,employee21@company.com
22,Employee_22,Marketing,Manager,113664.53,2022-03-23 18:16:05.057024,employee22@company.com
23,Employee_23,Finance,Manager,77903.42,2024-06-27 18:16:05.057026,employee23@company.com
24,Employee_24,Engineering,Senior,82283.88,2023-07-31 18:16:05.057027,employee24@company.com
25,Employee_25,HR,Manager,38066.37,2025-08-19 18:16:05.057028,employee25@company.com
26,Employee_26,Finance,Intern,94587.22,2023-08-04 18:16:05.057030,employee26@company.com
27,Employee_27,Sales,Manager,65991.47,2022-11-22 18:16:05.057031,employee27@company.com
28,Employee_28,Sales,Senior,117905.27,2022-06-16 18:16:05.057033,employee28@company.com
29,Employee_29,Sales,Intern,104085.66,2024-01-12 18:16:05.057034,employee29@company.com
30,Employee_30,Sales,Manager,77023.29,2022-08-12 18:16:05.057035,employee30@company.com
